S,I,R
9.9999e+05,3.3187,3.3504
9.9999e+05,3.3379,3.3782
9.9999e+05,3.3572,3.4061
9.9999e+05,3.3767,3.4341
9.9999e+05,3.3962,3.4624
9.9999e+05,3.4158,3.4907
9.9999e+05,3.4356,3.5193
9.9999e+05,3.4555,3.548
9.9999e+05,3.4754,3.5769
9.9999e+05,3.4955,3.6059
9.9999e+05,3.5158,3.6351
9.9999e+05,3.5361,3.6645
9.9999e+05,3.5565,3.6941
9.9999e+05,3.5771,3.7238
9.9999e+05,3.5978,3.7537
9.9999e+05,3.6186,3.7838
9.9999e+05,3.6395,3.814
9.9999e+05,3.6606,3.8444
9.9999e+05,3.6818,3.875
9.9999e+05,3.7031,3.9058
9.9999e+05,3.7245,3.9367
9.9999e+05,3.746,3.9679
9.9999e+05,3.7677,3.9992
9.9999e+05,3.7895,4.0307
9.9999e+05,3.8114,4.0623
9.9999e+05,3.8334,4.0942
9.9999e+05,3.8556,4.1262
9.9999e+05,3.8779,4.1584
9.9999e+05,3.9003,4.1908
9.9999e+05,3.9229,4.2234
9.9999e+05,3.9456,4.2562
9.9999e+05,3.9684,4.2892
9.9999e+05,3.9914,4.3224
9.9999e+05,4.0145,4.3557
9.9999e+05,4.0377,4.3893
9.9999e+05,4.061,4.423
9.9999e+05,4.0845,4.457
9.9999e+05,4.1081,4.4911
9.9999e+05,4.1319,4.5254
9.9999e+05,4.1558,4.56
9.9999e+05,4.1798,4.5947
9.9999e+05,4.204,4.6296
9.9999e+05,4.2283,4.6648
9.9999e+05,4.2528,4.7001
9.9999e+05,4.2774,4.7356
9.9999e+05,4.3021,4.7714
9.9999e+05,4.327,4.8073
9.9999e+05,4.352,4.8435
9.9999e+05,4.3772,4.8799
9.9999e+05,4.4025,4.9165
9.9999e+05,4.428,4.9533
9.9999e+05,4.4536,4.9903
9.9999e+05,4.4794,5.0275
9.9999e+05,4.5053,5.0649
9.9999e+05,4.5313,5.1026
9.9999e+05,4.5575,5.1404
9.9999e+05,4.5839,5.1785
9.9999e+05,4.6104,5.2168
9.9999e+05,4.6371,5.2554
9.9999e+05,4.6639,5.2941
9.9999e+05,4.6909,5.3331
9.9999e+05,4.718,5.3723
9.9999e+05,4.7453,5.4117
9.9999e+05,4.7727,5.4514
9.9999e+05,4.8003,5.4913
9.9999e+05,4.8281,5.5314
9.9999e+05,4.856,5.5718
9.9999e+05,4.8841,5.6123
9.9999e+05,4.9124,5.6532
9.9999e+05,4.9408,5.6942
9.9999e+05,4.9693,5.7355
9.9999e+05,4.9981,5.777
9.9999e+05,5.027,5.8188
9.9999e+05,5.0561,5.8608
9.9999e+05,5.0853,5.9031
9.9999e+05,5.1147,5.9456
9.9999e+05,5.1443,5.9883
9.9999e+05,5.1741,6.0313
9.9999e+05,5.204,6.0745
9.9999e+05,5.2341,6.118
9.9999e+05,5.2644,6.1618
9.9999e+05,5.2948,6.2058
9.9999e+05,5.3254,6.25
9.9999e+05,5.3562,6.2945
9.9999e+05,5.3872,6.3393
9.9999e+05,5.4184,6.3843
9.9999e+05,5.4497,6.4296
9.9999e+05,5.4812,6.4752
9.9999e+05,5.5129,6.521
9.9999e+05,5.5448,6.567
9.9999e+05,5.5769,6.6134
9.9999e+05,5.6091,6.66
9.9999e+05,5.6416,6.7069
9.9999e+05,5.6742,6.754
9.9999e+05,5.707,6.8014
9.9999e+05,5.74,6.8491
9.9999e+05,5.7732,6.8971
9.9999e+05,5.8066,6.9454
9.9999e+05,5.8402,6.9939
9.9999e+05,5.874,7.0427
9.9999e+05,5.908,7.0918
9.9999e+05,5.9421,7.1412
9.9999e+05,5.9765,7.1908
9.9999e+05,6.0111,7.2408
9.9999e+05,6.0458,7.291
9.9999e+05,6.0808,7.3415
9.9999e+05,6.116,7.3924
9.9999e+05,6.1514,7.4435
9.9999e+05,6.1869,7.4949
9.9999e+05,6.2227,7.5466
9.9999e+05,6.2587,7.5986
9.9999e+05,6.2949,7.6509
9.9999e+05,6.3313,7.7035
9.9999e+05,6.3679,7.7564
9.9999e+05,6.4048,7.8096
9.9999e+05,6.4418,7.8632
9.9999e+05,6.4791,7.917
9.9999e+05,6.5165,7.9711
9.9999e+05,6.5542,8.0256
9.9999e+05,6.5921,8.0804
9.9999e+05,6.6303,8.1355
9.9999e+05,6.6686,8.1909
9.9999e+05,6.7072,8.2466
9.9998e+05,6.746,8.3027
9.9998e+05,6.785,8.3591
9.9998e+05,6.8242,8.4158
9.9998e+05,6.8637,8.4728
9.9998e+05,6.9034,8.5302
9.9998e+05,6.9433,8.5879
9.9998e+05,6.9835,8.6459
9.9998e+05,7.0239,8.7042
9.9998e+05,7.0645,8.7629
9.9998e+05,7.1054,8.822
9.9998e+05,7.1465,8.8814
9.9998e+05,7.1878,8.9411
9.9998e+05,7.2294,9.0012
9.9998e+05,7.2712,9.0616
9.9998e+05,7.3132,9.1224
9.9998e+05,7.3555,9.1835
9.9998e+05,7.3981,9.2449
9.9998e+05,7.4409,9.3068
9.9998e+05,7.4839,9.369
9.9998e+05,7.5272,9.4315
9.9998e+05,7.5707,9.4944
9.9998e+05,7.6145,9.5577
9.9998e+05,7.6586,9.6213
9.9998e+05,7.7029,9.6853
9.9998e+05,7.7474,9.7497
9.9998e+05,7.7922,9.8145
9.9998e+05,7.8373,9.8796
9.9998e+05,7.8826,9.9451
9.9998e+05,7.9282,10.011
9.9998e+05,7.9741,10.077
9.9998e+05,8.0202,10.144
9.9998e+05,8.0666,10.211
9.9998e+05,8.1132,10.278
9.9998e+05,8.1602,10.346
9.9998e+05,8.2074,10.414
9.9998e+05,8.2548,10.483
9.9998e+05,8.3026,10.552
9.9998e+05,8.3506,10.621
9.9998e+05,8.3989,10.691
9.9998e+05,8.4475,10.761
9.9998e+05,8.4963,10.832
9.9998e+05,8.5455,10.903
9.9998e+05,8.5949,10.974
9.9998e+05,8.6446,11.046
9.9998e+05,8.6946,11.118
9.9998e+05,8.7449,11.191
9.9998e+05,8.7955,11.264
9.9998e+05,8.8463,11.338
9.9998e+05,8.8975,11.412
9.9998e+05,8.949,11.486
9.9998e+05,9.0007,11.561
9.9998e+05,9.0528,11.636
9.9998e+05,9.1051,11.712
9.9998e+05,9.1578,11.788
9.9998e+05,9.2108,11.864
9.9998e+05,9.264,11.941
9.9998e+05,9.3176,12.019
9.9998e+05,9.3715,12.096
9.9998e+05,9.4257,12.175
9.9998e+05,9.4802,12.254
9.9998e+05,9.5351,12.333
9.9998e+05,9.5902,12.412
9.9998e+05,9.6457,12.493
9.9998e+05,9.7015,12.573
9.9998e+05,9.7576,12.654
9.9998e+05,9.814,12.736
9.9998e+05,9.8708,12.818
9.9998e+05,9.9279,12.9
9.9998e+05,9.9853,12.983
9.9998e+05,10.043,13.067
9.9998e+05,10.101,13.151
9.9998e+05,10.16,13.235
9.9998e+05,10.218,13.32
9.9998e+05,10.277,13.405
9.9998e+05,10.337,13.491
9.9998e+05,10.397,13.578
9.9998e+05,10.457,13.665
9.9998e+05,10.517,13.752
9.9998e+05,10.578,13.84
9.9998e+05,10.639,13.928
9.9998e+05,10.701,14.017
9.9998e+05,10.763,14.107
9.9997e+05,10.825,14.197
9.9997e+05,10.888,14.287
9.9997e+05,10.951,14.378
9.9997e+05,11.014,14.47
9.9997e+05,11.078,14.562
9.9997e+05,11.142,14.654
9.9997e+05,11.206,14.747
9.9997e+05,11.271,14.841
9.9997e+05,11.336,14.935
9.9997e+05,11.402,15.03
9.9997e+05,11.468,15.125
9.9997e+05,11.534,15.221
9.9997e+05,11.601,15.317
9.9997e+05,11.668,15.414
9.9997e+05,11.735,15.512
9.9997e+05,11.803,15.61
9.9997e+05,11.871,15.709
9.9997e+05,11.94,15.808
9.9997e+05,12.009,15.908
9.9997e+05,12.079,16.008
9.9997e+05,12.148,16.109
9.9997e+05,12.219,16.21
9.9997e+05,12.289,16.313
9.9997e+05,12.36,16.415
9.9997e+05,12.432,16.519
9.9997e+05,12.504,16.623
9.9997e+05,12.576,16.727
9.9997e+05,12.649,16.832
9.9997e+05,12.722,16.938
9.9997e+05,12.796,17.044
9.9997e+05,12.87,17.151
9.9997e+05,12.944,17.259
9.9997e+05,13.019,17.367
9.9997e+05,13.094,17.476
9.9997e+05,13.17,17.585
9.9997e+05,13.246,17.695
9.9997e+05,13.323,17.806
9.9997e+05,13.4,17.917
9.9997e+05,13.477,18.029
9.9997e+05,13.555,18.142
9.9997e+05,13.634,18.255
9.9997e+05,13.712,18.369
9.9997e+05,13.792,18.484
9.9997e+05,13.872,18.599
9.9997e+05,13.952,18.715
9.9997e+05,14.032,18.831
9.9997e+05,14.114,18.949
9.9997e+05,14.195,19.067
9.9997e+05,14.277,19.185
9.9997e+05,14.36,19.305
9.9997e+05,14.443,19.425
9.9997e+05,14.526,19.545
9.9997e+05,14.611,19.667
9.9997e+05,14.695,19.789
9.9997e+05,14.78,19.912
9.9997e+05,14.865,20.035
9.9996e+05,14.951,20.159
9.9996e+05,15.038,20.284
9.9996e+05,15.125,20.41
9.9996e+05,15.212,20.536
9.9996e+05,15.3,20.664
9.9996e+05,15.389,20.791
9.9996e+05,15.478,20.92
9.9996e+05,15.567,21.049
9.9996e+05,15.657,21.18
9.9996e+05,15.748,21.31
9.9996e+05,15.839,21.442
9.9996e+05,15.931,21.574
9.9996e+05,16.023,21.707
9.9996e+05,16.115,21.841
9.9996e+05,16.209,21.976
9.9996e+05,16.302,22.112
9.9996e+05,16.397,22.248
9.9996e+05,16.492,22.385
9.9996e+05,16.587,22.523
9.9996e+05,16.683,22.661
9.9996e+05,16.779,22.801
9.9996e+05,16.876,22.941
9.9996e+05,16.974,23.082
9.9996e+05,17.072,23.224
9.9996e+05,17.171,23.367
9.9996e+05,17.27,23.51
9.9996e+05,17.37,23.654
9.9996e+05,17.471,23.8
9.9996e+05,17.572,23.946
9.9996e+05,17.673,24.092
9.9996e+05,17.775,24.24
9.9996e+05,17.878,24.389
9.9996e+05,17.982,24.538
9.9996e+05,18.086,24.688
9.9996e+05,18.19,24.839
9.9996e+05,18.295,24.992
9.9996e+05,18.401,25.144
9.9996e+05,18.508,25.298
9.9996e+05,18.615,25.453
9.9996e+05,18.722,25.608
9.9996e+05,18.831,25.765
9.9996e+05,18.94,25.922
9.9995e+05,19.049,26.081
9.9995e+05,19.159,26.24
9.9995e+05,19.27,26.4
9.9995e+05,19.382,26.561
9.9995e+05,19.494,26.723
9.9995e+05,19.606,26.886
9.9995e+05,19.72,27.05
9.9995e+05,19.834,27.215
9.9995e+05,19.949,27.38
9.9995e+05,20.064,27.547
9.9995e+05,20.18,27.715
9.9995e+05,20.297,27.883
9.9995e+05,20.414,28.053
9.9995e+05,20.532,28.224
9.9995e+05,20.651,28.395
9.9995e+05,20.77,28.568
9.9995e+05,20.891,28.741
9.9995e+05,21.011,28.916
9.9995e+05,21.133,29.092
9.9995e+05,21.255,29.268
9.9995e+05,21.378,29.446
9.9995e+05,21.502,29.624
9.9995e+05,21.626,29.804
9.9995e+05,21.751,29.985
9.9995e+05,21.877,30.167
9.9995e+05,22.003,30.35
9.9995e+05,22.131,30.533
9.9995e+05,22.259,30.718
9.9995e+05,22.387,30.904
9.9995e+05,22.517,31.091
9.9995e+05,22.647,31.28
9.9995e+05,22.778,31.469
9.9995e+05,22.91,31.659
9.9995e+05,23.042,31.851
9.9994e+05,23.176,32.043
9.9994e+05,23.31,32.237
9.9994e+05,23.444,32.432
9.9994e+05,23.58,32.628
9.9994e+05,23.716,32.825
9.9994e+05,23.854,33.023
9.9994e+05,23.992,33.222
9.9994e+05,24.13,33.423
9.9994e+05,24.27,33.625
9.9994e+05,24.41,33.827
9.9994e+05,24.551,34.031
9.9994e+05,24.693,34.237
9.9994e+05,24.836,34.443
9.9994e+05,24.98,34.651
9.9994e+05,25.124,34.859
9.9994e+05,25.27,35.069
9.9994e+05,25.416,35.28
9.9994e+05,25.563,35.493
9.9994e+05,25.711,35.707
9.9994e+05,25.859,35.921
9.9994e+05,26.009,36.138
9.9994e+05,26.159,36.355
9.9994e+05,26.311,36.574
9.9994e+05,26.463,36.793
9.9994e+05,26.616,37.015
9.9994e+05,26.77,37.237
9.9994e+05,26.925,37.461
9.9994e+05,27.08,37.686
9.9993e+05,27.237,37.912
9.9993e+05,27.394,38.14
9.9993e+05,27.553,38.369
9.9993e+05,27.712,38.599
9.9993e+05,27.873,38.831
9.9993e+05,28.034,39.063
9.9993e+05,28.196,39.298
9.9993e+05,28.359,39.533
9.9993e+05,28.523,39.77
9.9993e+05,28.688,40.009
9.9993e+05,28.854,40.249
9.9993e+05,29.021,40.49
9.9993e+05,29.189,40.732
9.9993e+05,29.357,40.976
9.9993e+05,29.527,41.221
9.9993e+05,29.698,41.468
9.9993e+05,29.87,41.716
9.9993e+05,30.042,41.966
9.9993e+05,30.216,42.217
9.9993e+05,30.391,42.47
9.9993e+05,30.567,42.724
9.9993e+05,30.743,42.979
9.9993e+05,30.921,43.236
9.9993e+05,31.1,43.495
9.9992e+05,31.28,43.754
9.9992e+05,31.461,44.016
9.9992e+05,31.643,44.279
9.9992e+05,31.826,44.543
9.9992e+05,32.01,44.809
9.9992e+05,32.195,45.077
9.9992e+05,32.381,45.346
9.9992e+05,32.568,45.616
9.9992e+05,32.757,45.889
9.9992e+05,32.946,46.162
9.9992e+05,33.137,46.438
9.9992e+05,33.328,46.715
9.9992e+05,33.521,46.993
9.9992e+05,33.715,47.273
9.9992e+05,33.91,47.555
9.9992e+05,34.106,47.839
9.9992e+05,34.303,48.124
9.9992e+05,34.502,48.41
9.9992e+05,34.701,48.699
9.9992e+05,34.902,48.989
9.9992e+05,35.104,49.28
9.9992e+05,35.307,49.574
9.9991e+05,35.511,49.869
9.9991e+05,35.717,50.166
9.9991e+05,35.923,50.464
9.9991e+05,36.131,50.764
9.9991e+05,36.34,51.066
9.9991e+05,36.55,51.37
9.9991e+05,36.761,51.675
9.9991e+05,36.974,51.983
9.9991e+05,37.188,52.292
9.9991e+05,37.403,52.602
9.9991e+05,37.619,52.915
9.9991e+05,37.837,53.229
9.9991e+05,38.056,53.546
9.9991e+05,38.276,53.864
9.9991e+05,38.497,54.184
9.9991e+05,38.72,54.505
9.9991e+05,38.944,54.829
9.9991e+05,39.169,55.154
9.9991e+05,39.395,55.482
9.999e+05,39.623,55.811
9.999e+05,39.852,56.142
9.999e+05,40.083,56.475
9.999e+05,40.315,56.81
9.999e+05,40.548,57.147
