S,I,R
9.9964e+05,146.69,210.55
9.9964e+05,147.54,211.78
9.9964e+05,148.39,213.01
9.9964e+05,149.25,214.25
9.9963e+05,150.11,215.5
9.9963e+05,150.98,216.75
9.9963e+05,151.85,218.01
9.9963e+05,152.73,219.28
9.9963e+05,153.61,220.56
9.9962e+05,154.5,221.84
9.9962e+05,155.4,223.13
9.9962e+05,156.29,224.43
9.9962e+05,157.2,225.74
9.9961e+05,158.11,227.05
9.9961e+05,159.02,228.37
9.9961e+05,159.94,229.7
9.9961e+05,160.86,231.04
9.9961e+05,161.79,232.38
9.996e+05,162.73,233.74
9.996e+05,163.67,235.1
9.996e+05,164.62,236.46
9.996e+05,165.57,237.84
9.9959e+05,166.53,239.22
9.9959e+05,167.49,240.62
9.9959e+05,168.46,242.02
9.9959e+05,169.43,243.42
9.9958e+05,170.41,244.84
9.9958e+05,171.4,246.26
9.9958e+05,172.39,247.7
9.9958e+05,173.38,249.14
9.9958e+05,174.39,250.59
9.9957e+05,175.39,252.04
9.9957e+05,176.41,253.51
9.9957e+05,177.43,254.98
9.9957e+05,178.45,256.47
9.9956e+05,179.49,257.96
9.9956e+05,180.52,259.46
9.9956e+05,181.57,260.97
9.9955e+05,182.62,262.48
9.9955e+05,183.67,264.01
9.9955e+05,184.73,265.54
9.9955e+05,185.8,267.09
9.9954e+05,186.88,268.64
9.9954e+05,187.96,270.2
9.9954e+05,189.04,271.77
9.9954e+05,190.14,273.35
9.9953e+05,191.24,274.94
9.9953e+05,192.34,276.54
9.9953e+05,193.45,278.15
9.9953e+05,194.57,279.77
9.9952e+05,195.7,281.39
9.9952e+05,196.83,283.03
9.9952e+05,197.97,284.67
9.9951e+05,199.11,286.33
9.9951e+05,200.26,287.99
9.9951e+05,201.42,289.66
9.9951e+05,202.58,291.35
9.995e+05,203.75,293.04
9.995e+05,204.93,294.74
9.995e+05,206.12,296.46
9.9949e+05,207.31,298.18
9.9949e+05,208.51,299.91
9.9949e+05,209.71,301.65
9.9949e+05,210.92,303.41
9.9948e+05,212.14,305.17
9.9948e+05,213.37,306.94
9.9948e+05,214.6,308.73
9.9947e+05,215.84,310.52
9.9947e+05,217.09,312.32
9.9947e+05,218.35,314.14
9.9946e+05,219.61,315.96
9.9946e+05,220.88,317.8
9.9946e+05,222.16,319.64
9.9946e+05,223.44,321.5
9.9945e+05,224.73,323.37
9.9945e+05,226.03,325.25
9.9945e+05,227.34,327.13
9.9944e+05,228.65,329.03
9.9944e+05,229.97,330.95
9.9944e+05,231.3,332.87
9.9943e+05,232.64,334.8
9.9943e+05,233.98,336.74
9.9943e+05,235.34,338.7
9.9942e+05,236.7,340.67
9.9942e+05,238.07,342.65
9.9942e+05,239.44,344.63
9.9941e+05,240.83,346.64
9.9941e+05,242.22,348.65
9.9941e+05,243.62,350.67
9.994e+05,245.03,352.71
9.994e+05,246.44,354.76
9.994e+05,247.87,356.82
9.9939e+05,249.3,358.89
9.9939e+05,250.74,360.97
9.9938e+05,252.19,363.07
9.9938e+05,253.65,365.17
9.9938e+05,255.11,367.29
9.9937e+05,256.59,369.43
9.9937e+05,258.07,371.57
9.9937e+05,259.56,373.73
9.9936e+05,261.06,375.9
9.9936e+05,262.57,378.08
9.9936e+05,264.09,380.27
9.9935e+05,265.62,382.48
9.9935e+05,267.15,384.7
9.9934e+05,268.7,386.93
9.9934e+05,270.25,389.18
9.9934e+05,271.81,391.44
9.9933e+05,273.38,393.71
9.9933e+05,274.96,395.99
9.9933e+05,276.55,398.29
9.9932e+05,278.15,400.6
9.9932e+05,279.76,402.93
9.9931e+05,281.38,405.27
9.9931e+05,283,407.62
9.9931e+05,284.64,409.98
9.993e+05,286.28,412.36
9.993e+05,287.94,414.75
9.9929e+05,289.6,417.16
9.9929e+05,291.28,419.58
9.9929e+05,292.96,422.01
9.9928e+05,294.65,424.46
9.9928e+05,296.36,426.93
9.9927e+05,298.07,429.4
9.9927e+05,299.79,431.89
9.9926e+05,301.52,434.4
9.9926e+05,303.27,436.92
9.9926e+05,305.02,439.45
9.9925e+05,306.78,442
9.9925e+05,308.55,444.57
9.9924e+05,310.34,447.15
9.9924e+05,312.13,449.74
9.9923e+05,313.94,452.35
9.9923e+05,315.75,454.97
9.9922e+05,317.57,457.61
9.9922e+05,319.41,460.26
9.9922e+05,321.26,462.93
9.9921e+05,323.11,465.62
9.9921e+05,324.98,468.32
9.992e+05,326.86,471.03
9.992e+05,328.75,473.77
9.9919e+05,330.65,476.51
9.9919e+05,332.56,479.28
9.9918e+05,334.48,482.06
9.9918e+05,336.41,484.85
9.9917e+05,338.36,487.66
9.9917e+05,340.31,490.49
9.9916e+05,342.28,493.34
9.9916e+05,344.26,496.2
9.9915e+05,346.25,499.07
9.9915e+05,348.25,501.97
9.9914e+05,350.26,504.88
9.9914e+05,352.28,507.8
9.9913e+05,354.32,510.75
9.9913e+05,356.37,513.71
9.9912e+05,358.43,516.69
9.9912e+05,360.5,519.68
9.9911e+05,362.58,522.7
9.9911e+05,364.68,525.73
9.991e+05,366.78,528.77
9.991e+05,368.9,531.84
9.9909e+05,371.04,534.92
9.9909e+05,373.18,538.02
9.9908e+05,375.34,541.14
9.9908e+05,377.51,544.28
9.9907e+05,379.69,547.43
9.9907e+05,381.88,550.61
9.9906e+05,384.09,553.8
9.9906e+05,386.31,557.01
9.9905e+05,388.54,560.24
9.9905e+05,390.78,563.48
9.9904e+05,393.04,566.75
9.9903e+05,395.31,570.04
9.9903e+05,397.6,573.34
9.9902e+05,399.9,576.66
9.9902e+05,402.21,580
9.9901e+05,404.53,583.37
9.9901e+05,406.87,586.75
9.99e+05,409.22,590.15
9.9899e+05,411.58,593.57
9.9899e+05,413.96,597.01
9.9898e+05,416.35,600.47
9.9898e+05,418.76,603.95
9.9897e+05,421.18,607.45
9.9897e+05,423.61,610.97
9.9896e+05,426.06,614.51
9.9895e+05,428.52,618.07
9.9895e+05,431,621.65
9.9894e+05,433.49,625.25
9.9894e+05,435.99,628.87
9.9893e+05,438.51,632.52
9.9892e+05,441.04,636.18
9.9892e+05,443.59,639.87
9.9891e+05,446.16,643.57
9.989e+05,448.73,647.3
9.989e+05,451.33,651.05
9.9889e+05,453.93,654.83
9.9888e+05,456.56,658.62
9.9888e+05,459.19,662.43
9.9887e+05,461.85,666.27
9.9887e+05,464.51,670.13
9.9886e+05,467.2,674.01
9.9885e+05,469.9,677.92
9.9885e+05,472.61,681.85
9.9884e+05,475.34,685.8
9.9883e+05,478.09,689.77
9.9883e+05,480.85,693.76
9.9882e+05,483.63,697.78
9.9881e+05,486.42,701.82
9.988e+05,489.23,705.89
9.988e+05,492.06,709.98
9.9879e+05,494.9,714.09
9.9878e+05,497.76,718.23
9.9878e+05,500.64,722.39
9.9877e+05,503.53,726.57
9.9876e+05,506.44,730.78
9.9876e+05,509.36,735.01
9.9875e+05,512.3,739.27
9.9874e+05,515.26,743.55
9.9873e+05,518.24,747.86
9.9873e+05,521.23,752.19
9.9872e+05,524.24,756.54
9.9871e+05,527.27,760.92
9.987e+05,530.32,765.33
9.987e+05,533.38,769.76
9.9869e+05,536.46,774.22
9.9868e+05,539.56,778.7
9.9867e+05,542.68,783.21
9.9867e+05,545.81,787.75
9.9866e+05,548.97,792.31
9.9865e+05,552.14,796.9
9.9864e+05,555.33,801.51
9.9864e+05,558.53,806.15
9.9863e+05,561.76,810.82
9.9862e+05,565,815.52
9.9861e+05,568.27,820.24
9.986e+05,571.55,824.99
9.986e+05,574.85,829.76
9.9859e+05,578.17,834.57
9.9858e+05,581.51,839.4
9.9857e+05,584.87,844.26
9.9856e+05,588.25,849.15
9.9855e+05,591.64,854.06
9.9855e+05,595.06,859.01
9.9854e+05,598.5,863.98
9.9853e+05,601.96,868.98
9.9852e+05,605.43,874.02
9.9851e+05,608.93,879.08
9.985e+05,612.44,884.16
9.9849e+05,615.98,889.28
9.9849e+05,619.54,894.43
9.9848e+05,623.12,899.61
9.9847e+05,626.72,904.82
9.9846e+05,630.33,910.05
9.9845e+05,633.98,915.32
9.9844e+05,637.64,920.62
9.9843e+05,641.32,925.95
9.9842e+05,645.02,931.31
9.9841e+05,648.75,936.7
9.9841e+05,652.49,942.12
9.984e+05,656.26,947.57
9.9839e+05,660.05,953.06
9.9838e+05,663.86,958.58
9.9837e+05,667.7,964.12
9.9836e+05,671.55,969.7
9.9835e+05,675.43,975.32
9.9834e+05,679.33,980.96
9.9833e+05,683.25,986.64
9.9832e+05,687.2,992.35
9.9831e+05,691.16,998.09
9.983e+05,695.16,1003.9
9.9829e+05,699.17,1009.7
9.9828e+05,703.21,1015.5
9.9827e+05,707.27,1021.4
9.9826e+05,711.35,1027.3
9.9825e+05,715.46,1033.3
9.9824e+05,719.59,1039.2
9.9823e+05,723.74,1045.2
9.9822e+05,727.92,1051.3
9.9821e+05,732.12,1057.4
9.982e+05,736.35,1063.5
9.9819e+05,740.6,1069.7
9.9818e+05,744.88,1075.8
9.9817e+05,749.18,1082.1
9.9816e+05,753.5,1088.3
9.9815e+05,757.85,1094.6
9.9814e+05,762.23,1101
9.9813e+05,766.63,1107.3
9.9812e+05,771.06,1113.7
9.981e+05,775.51,1120.2
9.9809e+05,779.98,1126.7
9.9808e+05,784.49,1133.2
9.9807e+05,789.01,1139.7
9.9806e+05,793.57,1146.3
9.9805e+05,798.15,1153
9.9804e+05,802.76,1159.6
9.9803e+05,807.39,1166.3
9.9801e+05,812.05,1173.1
9.98e+05,816.74,1179.9
9.9799e+05,821.45,1186.7
9.9798e+05,826.2,1193.6
9.9797e+05,830.96,1200.5
9.9796e+05,835.76,1207.4
9.9795e+05,840.59,1214.4
9.9793e+05,845.44,1221.4
9.9792e+05,850.32,1228.5
9.9791e+05,855.22,1235.6
9.979e+05,860.16,1242.7
9.9788e+05,865.13,1249.9
9.9787e+05,870.12,1257.2
9.9786e+05,875.14,1264.4
9.9785e+05,880.19,1271.7
9.9784e+05,885.27,1279.1
9.9782e+05,890.38,1286.5
9.9781e+05,895.52,1293.9
9.978e+05,900.69,1301.4
9.9779e+05,905.89,1309
9.9777e+05,911.11,1316.5
9.9776e+05,916.37,1324.1
9.9775e+05,921.66,1331.8
9.9773e+05,926.98,1339.5
9.9772e+05,932.33,1347.3
9.9771e+05,937.71,1355
9.9769e+05,943.12,1362.9
9.9768e+05,948.56,1370.8
9.9767e+05,954.03,1378.7
9.9765e+05,959.54,1386.7
9.9764e+05,965.08,1394.7
9.9763e+05,970.64,1402.7
9.9761e+05,976.25,1410.9
9.976e+05,981.88,1419
9.9759e+05,987.54,1427.2
9.9757e+05,993.24,1435.5
9.9756e+05,998.97,1443.8
9.9754e+05,1004.7,1452.1
9.9753e+05,1010.5,1460.5
9.9751e+05,1016.4,1469
9.975e+05,1022.2,1477.5
9.9749e+05,1028.1,1486
9.9747e+05,1034.1,1494.6
9.9746e+05,1040,1503.2
9.9744e+05,1046,1511.9
9.9743e+05,1052.1,1520.7
9.9741e+05,1058.1,1529.5
9.974e+05,1064.2,1538.3
9.9738e+05,1070.4,1547.2
9.9737e+05,1076.5,1556.1
9.9735e+05,1082.8,1565.1
9.9734e+05,1089,1574.2
9.9732e+05,1095.3,1583.3
9.9731e+05,1101.6,1592.4
9.9729e+05,1108,1601.7
9.9727e+05,1114.3,1610.9
9.9726e+05,1120.8,1620.2
9.9724e+05,1127.2,1629.6
9.9723e+05,1133.7,1639
9.9721e+05,1140.3,1648.5
9.972e+05,1146.9,1658
9.9718e+05,1153.5,1667.6
9.9716e+05,1160.1,1677.2
9.9715e+05,1166.8,1686.9
9.9713e+05,1173.5,1696.7
9.9711e+05,1180.3,1706.5
9.971e+05,1187.1,1716.4
9.9708e+05,1194,1726.3
9.9706e+05,1200.8,1736.3
9.9705e+05,1207.8,1746.3
9.9703e+05,1214.7,1756.4
9.9701e+05,1221.7,1766.5
9.9699e+05,1228.8,1776.8
9.9698e+05,1235.9,1787
9.9696e+05,1243,1797.4
9.9694e+05,1250.2,1807.7
9.9692e+05,1257.4,1818.2
9.9691e+05,1264.6,1828.7
9.9689e+05,1271.9,1839.3
9.9687e+05,1279.3,1849.9
9.9685e+05,1286.6,1860.6
9.9683e+05,1294,1871.3
9.9682e+05,1301.5,1882.2
9.968e+05,1309,1893
9.9678e+05,1316.6,1904
9.9676e+05,1324.1,1915
9.9674e+05,1331.8,1926
9.9672e+05,1339.5,1937.2
9.967e+05,1347.2,1948.4
9.9669e+05,1354.9,1959.6
9.9667e+05,1362.8,1970.9
9.9665e+05,1370.6,1982.3
9.9663e+05,1378.5,1993.8
9.9661e+05,1386.5,2005.3
9.9659e+05,1394.5,2016.9
9.9657e+05,1402.5,2028.6
9.9655e+05,1410.6,2040.3
9.9653e+05,1418.7,2052.1
9.9651e+05,1426.9,2063.9
9.9649e+05,1435.1,2075.8
9.9647e+05,1443.4,2087.8
9.9645e+05,1451.7,2099.9
9.9643e+05,1460.1,2112
9.9641e+05,1468.5,2124.2
9.9639e+05,1476.9,2136.5
9.9637e+05,1485.4,2148.9
9.9634e+05,1494,2161.3
9.9632e+05,1502.6,2173.8
9.963e+05,1511.3,2186.3
9.9628e+05,1520,2198.9
9.9626e+05,1528.7,2211.6
9.9624e+05,1537.6,2224.4
9.9622e+05,1546.4,2237.3
9.9619e+05,1555.3,2250.2
9.9617e+05,1564.3,2263.2
9.9615e+05,1573.3,2276.3
9.9613e+05,1582.4,2289.4
9.9611e+05,1591.5,2302.6
9.9608e+05,1600.6,2315.9
9.9606e+05,1609.9,2329.3
9.9604e+05,1619.1,2342.8
9.9602e+05,1628.5,2356.3
9.9599e+05,1637.9,2369.9
9.9597e+05,1647.3,2383.6
9.9595e+05,1656.8,2397.4
9.9592e+05,1666.3,2411.2
9.959e+05,1675.9,2425.1
9.9588e+05,1685.6,2439.1
9.9585e+05,1695.3,2453.2
9.9583e+05,1705,2467.4
9.958e+05,1714.9,2481.6
9.9578e+05,1724.7,2496
9.9575e+05,1734.7,2510.4
9.9573e+05,1744.7,2524.9
9.9571e+05,1754.7,2539.5
9.9568e+05,1764.8,2554.1
9.9566e+05,1775,2568.9
9.9563e+05,1785.2,2583.7
9.9561e+05,1795.5,2598.6
9.9558e+05,1805.8,2613.6
9.9556e+05,1816.2,2628.7
9.9553e+05,1826.7,2643.9
9.955e+05,1837.2,2659.2
9.9548e+05,1847.8,2674.5
9.9545e+05,1858.4,2690
9.9543e+05,1869.1,2705.5
9.954e+05,1879.9,2721.1
9.9537e+05,1890.7,2736.8
9.9535e+05,1901.6,2752.6
9.9532e+05,1912.5,2768.5
9.9529e+05,1923.5,2784.5
9.9526e+05,1934.6,2800.6
9.9524e+05,1945.7,2816.8
9.9521e+05,1956.9,2833
9.9518e+05,1968.2,2849.4
9.9515e+05,1979.5,2865.8
9.9513e+05,1990.9,2882.4
9.951e+05,2002.4,2899
9.9507e+05,2013.9,2915.7
9.9504e+05,2025.5,2932.6
9.9501e+05,2037.2,2949.5
9.9498e+05,2048.9,2966.5
9.9496e+05,2060.7,2983.7
9.9493e+05,2072.5,3000.9
9.949e+05,2084.5,3018.2
9.9487e+05,2096.5,3035.6
9.9484e+05,2108.5,3053.1
9.9481e+05,2120.7,3070.8
9.9478e+05,2132.9,3088.5
9.9475e+05,2145.1,3106.3
9.9472e+05,2157.5,3124.2
9.9469e+05,2169.9,3142.3
9.9466e+05,2182.4,3160.4
9.9463e+05,2194.9,3178.6
9.946e+05,2207.5,3197
9.9456e+05,2220.2,3215.4
9.9453e+05,2233,3234
9.945e+05,2245.9,3252.6
9.9447e+05,2258.8,3271.4
9.9444e+05,2271.8,3290.3
9.9441e+05,2284.8,3309.3
9.9437e+05,2298,3328.4
9.9434e+05,2311.2,3347.6
9.9431e+05,2324.5,3366.9
9.9428e+05,2337.8,3386.3
9.9424e+05,2351.3,3405.9
9.9421e+05,2364.8,3425.5
9.9418e+05,2378.4,3445.3
9.9414e+05,2392.1,3465.1
9.9411e+05,2405.8,3485.1
9.9408e+05,2419.7,3505.2
9.9404e+05,2433.6,3525.5
9.9401e+05,2447.6,3545.8
9.9397e+05,2461.6,3566.3
9.9394e+05,2475.8,3586.8
9.939e+05,2490,3607.5
9.9387e+05,2504.3,3628.3
9.9383e+05,2518.7,3649.3
9.938e+05,2533.2,3670.3
9.9376e+05,2547.8,3691.5
9.9372e+05,2562.4,3712.8
9.9369e+05,2577.1,3734.2
9.9365e+05,2592,3755.7
9.9362e+05,2606.9,3777.4
9.9358e+05,2621.8,3799.2
9.9354e+05,2636.9,3821.1
9.935e+05,2652.1,3843.1
9.9347e+05,2667.3,3865.3
9.9343e+05,2682.6,3887.6
9.9339e+05,2698,3910
9.9335e+05,2713.5,3932.5
9.9332e+05,2729.1,3955.2
9.9328e+05,2744.8,3978
9.9324e+05,2760.6,4001
9.932e+05,2776.4,4024
9.9316e+05,2792.4,4047.2
9.9312e+05,2808.4,4070.6
9.9308e+05,2824.5,4094.1
9.9304e+05,2840.8,4117.7
9.93e+05,2857.1,4141.4
9.9296e+05,2873.5,4165.3
9.9292e+05,2890,4189.3
9.9288e+05,2906.6,4213.4
9.9284e+05,2923.3,4237.7
9.928e+05,2940.1,4262.2
9.9276e+05,2957,4286.7
9.9271e+05,2973.9,4311.4
9.9267e+05,2991,4336.3
9.9263e+05,3008.2,4361.3
9.9259e+05,3025.4,4386.4
9.9255e+05,3042.8,4411.7
9.925e+05,3060.3,4437.2
9.9246e+05,3077.8,4462.7
9.9242e+05,3095.5,4488.4
9.9237e+05,3113.3,4514.3
9.9233e+05,3131.2,4540.3
9.9228e+05,3149.1,4566.5
9.9224e+05,3167.2,4592.8
9.922e+05,3185.4,4619.3
9.9215e+05,3203.6,4645.9
9.9211e+05,3222,4672.7
9.9206e+05,3240.5,4699.6
9.9201e+05,3259.1,4726.7
9.9197e+05,3277.8,4753.9
9.9192e+05,3296.6,4781.3
9.9188e+05,3315.5,4808.9
9.9183e+05,3334.5,4836.6
9.9178e+05,3353.7,4864.5
9.9173e+05,3372.9,4892.5
9.9169e+05,3392.3,4920.7
9.9164e+05,3411.7,4949
9.9159e+05,3431.3,4977.5
9.9154e+05,3451,5006.2
9.9149e+05,3470.7,5035
9.9145e+05,3490.7,5064.1
9.914e+05,3510.7,5093.2
9.9135e+05,3530.8,5122.6
9.913e+05,3551,5152.1
9.9125e+05,3571.4,5181.7
9.912e+05,3591.9,5211.6
9.9115e+05,3612.5,5241.6
9.911e+05,3633.2,5271.8
9.9104e+05,3654,5302.2
9.9099e+05,3674.9,5332.7
9.9094e+05,3696,5363.4
9.9089e+05,3717.2,5394.3
9.9084e+05,3738.5,5425.4
9.9078e+05,3759.9,5456.6
9.9073e+05,3781.5,5488
9.9068e+05,3803.1,5519.6
9.9062e+05,3824.9,5551.4
9.9057e+05,3846.8,5583.4
9.9052e+05,3868.9,5615.5
9.9046e+05,3891,5647.9
9.9041e+05,3913.3,5680.4
9.9035e+05,3935.7,5713.1
9.903e+05,3958.3,5746
9.9024e+05,3980.9,5779.1
9.9018e+05,4003.7,5812.3
9.9013e+05,4026.7,5845.8
9.9007e+05,4049.7,5879.4
9.9001e+05,4072.9,5913.3
9.8996e+05,4096.2,5947.3
9.899e+05,4119.7,5981.6
9.8984e+05,4143.3,6016
9.8978e+05,4167,6050.6
9.8972e+05,4190.8,6085.4
9.8966e+05,4214.8,6120.5
9.8961e+05,4239,6155.7
9.8955e+05,4263.2,6191.1
9.8949e+05,4287.6,6226.7
9.8943e+05,4312.2,6262.6
9.8936e+05,4336.8,6298.6
9.893e+05,4361.6,6334.9
9.8924e+05,4386.6,6371.3
9.8918e+05,4411.7,6408
9.8912e+05,4436.9,6444.8
9.8906e+05,4462.3,6481.9
9.8899e+05,4487.8,6519.2
9.8893e+05,4513.5,6556.7
9.8887e+05,4539.3,6594.4
9.888e+05,4565.3,6632.4
9.8874e+05,4591.4,6670.5
9.8867e+05,4617.6,6708.9
9.8861e+05,4644,6747.5
9.8854e+05,4670.6,6786.3
9.8848e+05,4697.3,6825.3
9.8841e+05,4724.2,6864.6
9.8834e+05,4751.2,6904.1
9.8828e+05,4778.3,6943.8
9.8821e+05,4805.6,6983.7
9.8814e+05,4833.1,7023.9
9.8808e+05,4860.7,7064.2
9.8801e+05,4888.5,7104.9
9.8794e+05,4916.4,7145.7
9.8787e+05,4944.5,7186.8
9.878e+05,4972.8,7228.1
9.8773e+05,5001.2,7269.7
9.8766e+05,5029.7,7311.5
9.8759e+05,5058.5,7353.5
9.8752e+05,5087.3,7395.8
9.8745e+05,5116.4,7438.3
9.8737e+05,5145.6,7481.1
9.873e+05,5175,7524.1
9.8723e+05,5204.6,7567.3
9.8715e+05,5234.3,7610.8
9.8708e+05,5264.1,7654.6
9.8701e+05,5294.2,7698.5
9.8693e+05,5324.4,7742.8
9.8686e+05,5354.8,7787.3
9.8678e+05,5385.4,7832
9.8671e+05,5416.1,7877
9.8663e+05,5447,7922.3
9.8655e+05,5478.1,7967.8
9.8648e+05,5509.3,8013.6
9.864e+05,5540.8,8059.7
9.8632e+05,5572.4,8106
9.8624e+05,5604.2,8152.5
9.8616e+05,5636.1,8199.4
9.8609e+05,5668.3,8246.5
9.8601e+05,5700.6,8293.8
9.8593e+05,5733.1,8341.5
9.8584e+05,5765.8,8389.4
9.8576e+05,5798.7,8437.6
9.8568e+05,5831.7,8486
9.856e+05,5865,8534.8
9.8552e+05,5898.4,8583.8
9.8543e+05,5932,8633.1
9.8535e+05,5965.8,8682.6
9.8527e+05,5999.8,8732.5
9.8518e+05,6034,8782.6
9.851e+05,6068.4,8833.1
9.8501e+05,6102.9,8883.8
9.8493e+05,6137.7,8934.8
9.8484e+05,6172.7,8986.1
9.8475e+05,6207.8,9037.7
9.8467e+05,6243.2,9089.5
9.8458e+05,6278.7,9141.7
9.8449e+05,6314.5,9194.2
9.844e+05,6350.4,9247
9.8431e+05,6386.6,9300
9.8422e+05,6422.9,9353.4
9.8413e+05,6459.5,9407.1
9.8404e+05,6496.2,9461.1
9.8395e+05,6533.2,9515.4
9.8386e+05,6570.4,9570
9.8377e+05,6607.8,9624.9
9.8367e+05,6645.4,9680.1
9.8358e+05,6683.2,9735.6
9.8349e+05,6721.2,9791.5
9.8339e+05,6759.4,9847.6
9.833e+05,6797.8,9904.1
9.832e+05,6836.5,9960.9
9.8311e+05,6875.4,10018
9.8301e+05,6914.5,10076
9.8291e+05,6953.8,10133
9.8282e+05,6993.3,10191
9.8272e+05,7033,10250
9.8262e+05,7073,10309
9.8252e+05,7113.2,10368
9.8242e+05,7153.6,10427
9.8232e+05,7194.2,10487
9.8222e+05,7235.1,10547
9.8212e+05,7276.2,10608
9.8201e+05,7317.5,10668
9.8191e+05,7359.1,10730
9.8181e+05,7400.9,10791
9.817e+05,7442.9,10853
9.816e+05,7485.1,10915
9.8149e+05,7527.6,10978
9.8139e+05,7570.4,11041
9.8128e+05,7613.3,11104
9.8118e+05,7656.5,11167
9.8107e+05,7700,11231
9.8096e+05,7743.6,11296
9.8085e+05,7787.6,11360
9.8074e+05,7831.7,11426
9.8063e+05,7876.2,11491
9.8052e+05,7920.8,11557
9.8041e+05,7965.7,11623
9.803e+05,8010.9,11690
9.8019e+05,8056.3,11757
9.8007e+05,8102,11824
9.7996e+05,8147.9,11892
9.7985e+05,8194.1,11960
9.7973e+05,8240.5,12028
9.7962e+05,8287.2,12097
9.795e+05,8334.1,12166
9.7938e+05,8381.3,12236
9.7927e+05,8428.8,12306
9.7915e+05,8476.5,12376
9.7903e+05,8524.5,12447
9.7891e+05,8572.8,12518
9.7879e+05,8621.3,12590
9.7867e+05,8670.1,12662
9.7855e+05,8719.1,12735
9.7842e+05,8768.5,12807
9.783e+05,8818.1,12881
9.7818e+05,8868,12954
9.7805e+05,8918.1,13029
9.7793e+05,8968.6,13103
9.778e+05,9019.3,13178
9.7768e+05,9070.3,13253
9.7755e+05,9121.5,13329
9.7742e+05,9173.1,13405
9.7729e+05,9224.9,13482
9.7716e+05,9277.1,13559
9.7703e+05,9329.5,13637
9.769e+05,9382.2,13715
9.7677e+05,9435.2,13793
9.7664e+05,9488.5,13872
9.7651e+05,9542.1,13951
9.7637e+05,9595.9,14031
9.7624e+05,9650.1,14111
9.761e+05,9704.6,14192
9.7597e+05,9759.4,14273
9.7583e+05,9814.4,14354
9.7569e+05,9869.8,14436
9.7556e+05,9925.5,14519
9.7542e+05,9981.5,14602
9.7528e+05,10038,14685
9.7514e+05,10094,14769
9.75e+05,10151,14854
9.7485e+05,10209,14938
9.7471e+05,10266,15024
9.7457e+05,10324,15109
9.7442e+05,10382,15196
9.7428e+05,10441,15283
9.7413e+05,10499,15370
9.7398e+05,10559,15457
9.7384e+05,10618,15546
9.7369e+05,10678,15634
9.7354e+05,10738,15724
9.7339e+05,10798,15813
9.7324e+05,10859,15904
9.7309e+05,10920,15994
9.7293e+05,10982,16086
9.7278e+05,11043,16177
9.7262e+05,11106,16270
9.7247e+05,11168,16363
9.7231e+05,11231,16456
9.7216e+05,11294,16550
9.72e+05,11357,16644
9.7184e+05,11421,16739
9.7168e+05,11485,16834
9.7152e+05,11550,16930
9.7136e+05,11615,17027
9.712e+05,11680,17124
9.7103e+05,11746,17222
9.7087e+05,11812,17320
9.707e+05,11878,17418
9.7054e+05,11944,17518
9.7037e+05,12012,17618
9.702e+05,12079,17718
9.7003e+05,12147,17819
9.6986e+05,12215,17920
9.6969e+05,12283,18022
9.6952e+05,12352,18125
9.6935e+05,12421,18228
9.6918e+05,12491,18332
9.69e+05,12561,18437
9.6883e+05,12631,18541
9.6865e+05,12702,18647
9.6847e+05,12773,18753
9.683e+05,12845,18860
9.6812e+05,12917,18967
9.6794e+05,12989,19075
9.6775e+05,13062,19184
9.6757e+05,13135,19293
9.6739e+05,13208,19403
9.6721e+05,13282,19513
9.6702e+05,13356,19624
9.6683e+05,13431,19736
9.6665e+05,13506,19848
9.6646e+05,13581,19961
9.6627e+05,13657,20074
9.6608e+05,13734,20188
9.6589e+05,13810,20303
9.6569e+05,13887,20419
9.655e+05,13965,20535
9.6531e+05,14043,20651
9.6511e+05,14121,20769
9.6491e+05,14200,20887
9.6472e+05,14279,21005
9.6452e+05,14359,21125
9.6432e+05,14439,21245
9.6412e+05,14519,21365
9.6391e+05,14600,21487
9.6371e+05,14682,21609
9.6351e+05,14763,21731
9.633e+05,14846,21855
9.6309e+05,14928,21979
9.6289e+05,15011,22103
9.6268e+05,15095,22229
9.6247e+05,15179,22355
9.6225e+05,15263,22482
9.6204e+05,15348,22609
9.6183e+05,15434,22738
9.6161e+05,15519,22867
9.614e+05,15606,22996
9.6118e+05,15692,23127
9.6096e+05,15780,23258
9.6074e+05,15867,23390
9.6052e+05,15955,23522
9.603e+05,16044,23656
9.6008e+05,16133,23790
9.5985e+05,16222,23925
9.5963e+05,16312,24060
9.594e+05,16403,24196
9.5917e+05,16494,24334
9.5894e+05,16585,24471
9.5871e+05,16677,24610
9.5848e+05,16770,24749
9.5825e+05,16863,24889
9.5801e+05,16956,25030
9.5778e+05,17050,25172
9.5754e+05,17144,25315
9.573e+05,17239,25458
9.5706e+05,17334,25602
9.5682e+05,17430,25747
9.5658e+05,17527,25892
9.5634e+05,17624,26039
9.5609e+05,17721,26186
9.5585e+05,17819,26334
9.556e+05,17917,26483
9.5535e+05,18016,26633
9.551e+05,18116,26783
9.5485e+05,18216,26935
9.546e+05,18316,27087
9.5434e+05,18417,27240
9.5409e+05,18519,27394
9.5383e+05,18621,27549
9.5357e+05,18724,27704
9.5331e+05,18827,27861
9.5305e+05,18930,28018
9.5279e+05,19035,28176
9.5253e+05,19139,28335
9.5226e+05,19245,28495
9.5199e+05,19351,28656
9.5173e+05,19457,28818
9.5146e+05,19564,28980
9.5118e+05,19672,29144
9.5091e+05,19780,29308
